P1D11_1_3;Glutamyl aminopeptidase
P1E12_1;Glutamyl aminopeptidase
P1E1_1_5;Glutamyl aminopeptidase
P1E3_1_2;Glutamyl aminopeptidase
P1F3_1_3;Glutamyl aminopeptidase
P2B2_1_6;Glutamyl aminopeptidase
P2B9_1;Glutamyl aminopeptidase
P2F6_1_2;Glutamyl aminopeptidase
P3A10_1_4;Glutamyl aminopeptidase
P3A11_1_5;Glutamyl aminopeptidase
P3A12_1_5;Glutamyl aminopeptidase
P3A6_1_5;Glutamyl aminopeptidase
P3A8_1_3;Glutamyl aminopeptidase
T1F10_1_7;Glutamyl aminopeptidase
T1F7_1_3;Glutamyl aminopeptidase
T1G1_1_2;Glutamyl aminopeptidase
T2A2_1_5;Glutamyl aminopeptidase
T2A7_1_2;Glutamyl aminopeptidase
T2C7_1_3;Glutamyl aminopeptidase
T2F11_1_5;Glutamyl aminopeptidase
T2H3_1_5;Glutamyl aminopeptidase
T3A1_1_3;Glutamyl aminopeptidase
T3B1_1_5;Glutamyl aminopeptidase
P1A10_1_8;Dipeptidase PepV
P1A1_1_7;Dipeptidase PepV
P1A4_1_8;Dipeptidase PepV
P1A6_1_7;Dipeptidase PepV
P1A8_1_5;Dipeptidase PepV
P1D11_1_4;Dipeptidase PepV
P1D8_1;Dipeptidase PepV
P1E1_1_6;Dipeptidase PepV
P1E7_1_6;Dipeptidase PepV
P1F7_1_7;Dipeptidase PepV
P1F8_1_6;Dipeptidase PepV
P2A8_1_6;Dipeptidase PepV
P2B2_1_7;Dipeptidase PepV
P2B9_1_2;Dipeptidase PepV
P2G10_1_4;Dipeptidase PepV
P3A10_1_5;Dipeptidase PepV
P3A10_2_2;Dipeptidase PepV
P3A11_1_6;Dipeptidase PepV
P3A11_2;Dipeptidase PepV
P3A12_1_6;Dipeptidase PepV
P3A12_2;Dipeptidase PepV
P3A6_1_6;Dipeptidase PepV
P3A6_2;Dipeptidase PepV
P3A7_1_3;Dipeptidase PepV
P3A7_2;Dipeptidase PepV
P3A8_1_4;Dipeptidase PepV
P3B5_1_2;Dipeptidase PepV
T1F10_1_8;Dipeptidase PepV
T2A2_1_6;Dipeptidase PepV
T2D9_1_6;Dipeptidase PepV
T2G11_1_2;Dipeptidase PepV
T2H3_1_6;Dipeptidase PepV
T2H4_1_2;Dipeptidase PepV
T2H5_1_2;Dipeptidase PepV
T3A12_1;Dipeptidase PepV
T3A1_1_4;Dipeptidase PepV
T3A6_2;Dipeptidase PepV
T3B1_1_6;Dipeptidase PepV
T3B1_2;Dipeptidase PepV
T3B8_2;Dipeptidase PepV
P2E10_1_2;Oligopeptide transport ATP-binding protein OppD
P3A10_1_6;Oligopeptide transport ATP-binding protein OppD
P3A11_1_7;Oligopeptide transport ATP-binding protein OppD
P3A12_1_7;Oligopeptide transport ATP-binding protein OppD
P3A6_1_7;Oligopeptide transport ATP-binding protein OppD
P3A7_1_4;Oligopeptide transport ATP-binding protein OppD
P3A8_1_5;Oligopeptide transport ATP-binding protein OppD
T1G1_1_3;Oligopeptide transport ATP-binding protein OppD
T2D6_1_2;Oligopeptide transport ATP-binding protein OppD
T3A1_1_5;Oligopeptide transport ATP-binding protein OppD
T3B1_1_7;Oligopeptide transport ATP-binding protein OppD
T3B2_1_2;Oligopeptide transport ATP-binding protein OppD
P1E4_1_2;Oligopeptide transport ATP-binding protein OppF
P1E7_1_7;Oligopeptide transport ATP-binding protein OppF
P1F7_1_8;Oligopeptide transport ATP-binding protein OppF
P2A8_1_7;Oligopeptide transport ATP-binding protein OppF
P2B2_1_8;Oligopeptide transport ATP-binding protein OppF
P2B3_1;Oligopeptide transport ATP-binding protein OppF
P2G10_1_5;Oligopeptide transport ATP-binding protein OppF
P3A10_1_7;Oligopeptide transport ATP-binding protein OppF
P3A11_1_8;Oligopeptide transport ATP-binding protein OppF
P3A12_1_8;Oligopeptide transport ATP-binding protein OppF
P3A6_1_8;Oligopeptide transport ATP-binding protein OppF
P3A8_1_6;Oligopeptide transport ATP-binding protein OppF
T1A3_1;Oligopeptide transport ATP-binding protein OppF
T1A6_1;Oligopeptide transport ATP-binding protein OppF
T1A9_1;Oligopeptide transport ATP-binding protein OppF
T2B7_1_2;Oligopeptide transport ATP-binding protein OppF
T3A10_1_2;Oligopeptide transport ATP-binding protein OppF
T3B1_1_8;Oligopeptide transport ATP-binding protein OppF
T2A2_1_7;Oligopeptide transport system permease protein
T2F6_1_5;Oligopeptide transport system permease protein
T2G11_1_3;Oligopeptide transport system permease protein
T2H3_1_7;Oligopeptide transport system permease protein
P1A10_1_9;Oligopeptide transport system permease protein OppB
P1A1_1_8;Oligopeptide transport system permease protein OppB
P1A8_1_6;Oligopeptide transport system permease protein OppB
P1E1_1_7;Oligopeptide transport system permease protein OppB
P1E7_1_8;Oligopeptide transport system permease protein OppB
P2B2_1_9;Oligopeptide transport system permease protein OppB
P2B3_1_2;Oligopeptide transport system permease protein OppB
P2G11_1;Oligopeptide transport system permease protein OppB
P3A10_1_8;Oligopeptide transport system permease protein OppB
T1F10_1_9;Oligopeptide transport system permease protein OppB
T1F7_1_4;Oligopeptide transport system permease protein OppB
T2B7_1_3;Oligopeptide transport system permease protein OppB
T2D9_1_7;Oligopeptide transport system permease protein OppB
T2E1_1_2;Oligopeptide transport system permease protein OppB
P1A10_1_10;Oligopeptide transport system permease protein OppC
P1A1_1_9;Oligopeptide transport system permease protein OppC
P1A8_1_7;Oligopeptide transport system permease protein OppC
P1E11_1_3;Oligopeptide transport system permease protein OppC
P1E1_1_8;Oligopeptide transport system permease protein OppC
P1E4_1_3;Oligopeptide transport system permease protein OppC
P1E7_1_9;Oligopeptide transport system permease protein OppC
P1F7_1_9;Oligopeptide transport system permease protein OppC
P1F7_2;Oligopeptide transport system permease protein OppC
P1F8_1_7;Oligopeptide transport system permease protein OppC
P2A8_1_8;Oligopeptide transport system permease protein OppC
P2B11_2;Oligopeptide transport system permease protein OppC
P2B8_1_2;Oligopeptide transport system permease protein OppC
P3A11_1_9;Oligopeptide transport system permease protein OppC
